siparis_id,urun_id,adet,iade_tarihi,neden,iade_edilen_tutar,iade_kargo_maliyeti,yeniden_satilabilir
S100658,U404,2,2026-03-23,üründen memnun kalmadım,2086.00,91.65,evet
S100755,U204,1,2026-03-23,yanlış ürün gönderildi,2290.00,83.09,hayır
S100474,U202,1,2026-03-24,beden uymadı,2790.00,105.27,evet
S100698,U201,1,2026-03-24,beden uymadı,3490.00,105.47,hayır
S100779,U303,1,2026-03-24,fikir değiştirdim,1290.00,104.29,evet
S100788,U107,1,2026-03-24,üründen memnun kalmadım,6490.00,151.43,evet
S101007,U501,1,2026-03-24,geç teslimat,1190.00,77.89,evet
S101023,U202,2,2026-03-24,beden uymadı,3906.00,106.63,evet
S100189,U106,1,2026-03-25,fikir değiştirdim,3990.00,101.43,evet
S100275,U304,1,2026-03-25,beden uymadı,1743.00,105.46,evet
S100311,U207,1,2026-03-25,üründen memnun kalmadım,3843.00,83.47,evet
S100933,U101,1,2026-03-25,beden uymadı,5490.00,106.47,evet
S100221,U604,2,2026-03-26,hasarlı geldi,1180.00,104.10,hayır
S100368,U408,3,2026-03-26,üründen memnun kalmadım,2070.00,112.37,hayır
S100372,U501,1,2026-03-26,üründen memnun kalmadım,1190.00,92.64,evet
S100452,U104,1,2026-03-26,üründen memnun kalmadım,2490.00,106.54,evet
S100804,U202,1,2026-03-26,fikir değiştirdim,2790.00,88.28,hayır
S100992,U204,1,2026-03-26,üründen memnun kalmadım,2290.00,171.77,evet
S101105,U105,1,2026-03-26,fikir değiştirdim,1890.00,111.92,evet
S100370,U202,1,2026-03-27,beden uymadı,2790.00,91.82,evet
S100382,U501,1,2026-03-27,beden uymadı,833.00,93.79,evet
S100644,U201,1,2026-03-27,beden uymadı,3490.00,81.36,evet
S100768,U302,1,2026-03-27,beden uymadı,3690.00,146.02,evet
S100973,U207,1,2026-03-27,fikir değiştirdim,3843.00,106.19,evet
S101020,U104,1,2026-03-27,geç teslimat,2490.00,112.94,evet
S101109,U206,1,2026-03-27,beden uymadı,4490.00,80.95,evet
S100994,U506,1,2026-03-28,fikir değiştirdim,890.00,85.40,evet
S101101,U203,1,2026-03-28,beden uymadı,3990.00,117.42,hayır
S101181,U404,1,2026-03-28,üründen memnun kalmadım,1490.00,121.24,hayır
S100411,U408,1,2026-03-29,beden uymadı,690.00,104.94,evet
S100528,U505,1,2026-03-29,hasarlı geldi,973.00,86.97,hayır
S100594,U202,1,2026-03-29,fikir değiştirdim,2371.50,79.06,hayır
S100693,U203,1,2026-03-29,beden uymadı,3990.00,111.69,hayır
S100748,U602,1,2026-03-29,fikir değiştirdim,290.00,87.99,evet
S100824,U505,1,2026-03-29,geç teslimat,1181.50,82.68,evet
S100966,U206,1,2026-03-29,beden uymadı,4490.00,110.50,evet
S101096,U105,1,2026-03-29,yanlış ürün gönderildi,1890.00,90.44,evet
S100550,U206,1,2026-03-30,beden uymadı,3143.00,117.16,hayır
S100582,U105,1,2026-03-30,fikir değiştirdim,1890.00,87.88,evet
S100668,U202,1,2026-03-30,beden uymadı,1953.00,91.78,evet
S100871,U203,1,2026-03-30,geç teslimat,3990.00,106.52,evet
S101004,U207,1,2026-03-30,beden uymadı,5490.00,104.34,hayır
S101214,U206,1,2026-03-30,beden uymadı,4490.00,92.72,hayır
S101079,U201,1,2026-03-31,hasarlı geldi,3490.00,78.72,hayır
S101173,U205,1,2026-03-31,beden uymadı,903.00,93.69,hayır
S100529,U103,1,2026-04-01,fikir değiştirdim,3290.00,82.33,evet
S100718,U403,1,2026-04-01,yanlış ürün gönderildi,2890.00,83.84,hayır
S100943,U204,1,2026-04-01,beden uymadı,2290.00,90.93,hayır
S101234,U501,2,2026-04-01,fikir değiştirdim,2380.00,88.91,evet
S101259,U201,1,2026-04-01,beden uymadı,3490.00,108.17,evet
S101330,U202,1,2026-04-01,beden uymadı,2790.00,97.48,evet
S100593,U203,1,2026-04-02,beden uymadı,3990.00,110.69,evet
S100836,U107,1,2026-04-02,fikir değiştirdim,6490.00,106.11,evet
S100869,U105,2,2026-04-02,hasarlı geldi,2646.00,91.07,evet
S100606,U203,1,2026-04-03,beden uymadı,3990.00,86.53,evet
S100866,U503,1,2026-04-03,üründen memnun kalmadım,413.00,164.74,evet
S100920,U602,1,2026-04-03,üründen memnun kalmadım,290.00,88.08,hayır
S101448,U405,1,2026-04-03,hasarlı geldi,833.00,118.18,hayır
S101486,U503,1,2026-04-03,fikir değiştirdim,501.50,78.55,evet
S100816,U201,1,2026-04-04,beden uymadı,3490.00,96.51,evet
S100964,U201,1,2026-04-04,beden uymadı,3490.00,157.54,evet
S100971,U604,2,2026-04-04,beden uymadı,1180.00,109.30,evet
S101002,U304,1,2026-04-04,hasarlı geldi,1743.00,103.02,hayır
S101446,U104,1,2026-04-04,üründen memnun kalmadım,2490.00,97.25,hayır
S100719,U107,1,2026-04-05,yanlış ürün gönderildi,4543.00,77.76,hayır
S100726,U502,1,2026-04-05,fikir değiştirdim,790.00,92.80,evet
S100816,U303,1,2026-04-05,fikir değiştirdim,1290.00,100.32,evet
S101369,U105,2,2026-04-05,üründen memnun kalmadım,3780.00,102.51,evet
S101435,U602,3,2026-04-05,fikir değiştirdim,870.00,153.38,evet
S101480,U306,2,2026-04-05,hasarlı geldi,1380.00,102.74,hayır
S101611,U403,1,2026-04-05,beden uymadı,2890.00,90.55,hayır
S100851,U603,1,2026-04-06,fikir değiştirdim,390.00,110.33,evet
S101453,U202,1,2026-04-06,beden uymadı,2790.00,107.76,hayır
S101587,U605,1,2026-04-06,geç teslimat,890.00,103.09,evet
S100990,U302,1,2026-04-07,beden uymadı,3690.00,94.35,evet
S101082,U602,1,2026-04-07,hasarlı geldi,290.00,86.42,hayır
S101203,U202,1,2026-04-07,yanlış ürün gönderildi,2790.00,88.72,evet
S101254,U206,1,2026-04-07,beden uymadı,4490.00,82.60,hayır
S101377,U201,1,2026-04-07,beden uymadı,3490.00,90.79,evet
S101442,U201,1,2026-04-07,beden uymadı,2443.00,79.80,evet
S101459,U105,1,2026-04-07,üründen memnun kalmadım,1890.00,98.05,evet
S101647,U404,1,2026-04-07,geç teslimat,1266.50,119.81,evet
S101060,U106,1,2026-04-08,hasarlı geldi,2793.00,91.71,hayır
S101411,U501,1,2026-04-08,üründen memnun kalmadım,1190.00,177.83,evet
S101428,U102,1,2026-04-08,üründen memnun kalmadım,8900.00,98.08,evet
S101495,U605,1,2026-04-08,geç teslimat,890.00,100.12,evet
S101629,U206,1,2026-04-08,geç teslimat,4490.00,95.41,hayır
S101643,U103,1,2026-04-08,üründen memnun kalmadım,2796.50,88.58,evet
S101725,U502,3,2026-04-08,hasarlı geldi,1659.00,81.79,hayır
S100908,U205,1,2026-04-09,beden uymadı,903.00,91.19,evet
S100953,U408,2,2026-04-09,fikir değiştirdim,1380.00,85.90,evet
S100996,U202,1,2026-04-09,geç teslimat,2790.00,105.29,hayır
S101610,U407,1,2026-04-09,üründen memnun kalmadım,1690.00,111.66,evet
S101624,U606,1,2026-04-09,üründen memnun kalmadım,490.00,82.82,evet
S101218,U302,1,2026-04-10,fikir değiştirdim,3690.00,120.54,evet
S101431,U501,1,2026-04-10,beden uymadı,1190.00,89.90,evet
S101466,U202,1,2026-04-10,fikir değiştirdim,2790.00,92.53,evet
S101656,U501,1,2026-04-10,beden uymadı,1190.00,84.35,evet
S101008,U503,1,2026-04-11,üründen memnun kalmadım,590.00,80.27,evet
S101136,U204,1,2026-04-11,beden uymadı,2290.00,77.94,evet
S101262,U205,1,2026-04-11,hasarlı geldi,1290.00,120.15,evet
S101344,U202,1,2026-04-11,beden uymadı,2371.50,166.30,evet
S101525,U606,1,2026-04-11,fikir değiştirdim,343.00,123.13,evet
S101625,U501,1,2026-04-11,fikir değiştirdim,1190.00,78.82,evet
S101683,U203,1,2026-04-11,fikir değiştirdim,3990.00,163.97,hayır
S101697,U405,1,2026-04-11,fikir değiştirdim,1190.00,104.52,evet
S101743,U204,1,2026-04-11,beden uymadı,2290.00,86.45,evet
S101815,U603,2,2026-04-11,fikir değiştirdim,546.00,84.04,evet
S101854,U205,1,2026-04-11,beden uymadı,1290.00,101.55,hayır
S101897,U201,1,2026-04-11,beden uymadı,3490.00,102.44,hayır
S101071,U207,1,2026-04-12,beden uymadı,5490.00,92.75,evet
S101215,U506,1,2026-04-12,geç teslimat,890.00,93.86,evet
S101462,U603,1,2026-04-12,fikir değiştirdim,331.50,167.50,evet
S101470,U205,1,2026-04-12,beden uymadı,1290.00,107.40,hayır
S101510,U501,2,2026-04-12,fikir değiştirdim,2380.00,85.92,evet
S101532,U206,1,2026-04-12,fikir değiştirdim,4490.00,81.67,evet
S101735,U206,1,2026-04-12,beden uymadı,4490.00,85.89,evet
S101142,U103,1,2026-04-13,geç teslimat,3290.00,99.79,evet
S101256,U102,1,2026-04-13,hasarlı geldi,8900.00,112.68,hayır
S101258,U203,1,2026-04-13,hasarlı geldi,3391.50,87.85,hayır
S101345,U202,1,2026-04-14,beden uymadı,2790.00,107.12,hayır
S101382,U306,1,2026-04-14,hasarlı geldi,690.00,111.33,hayır
S101440,U602,2,2026-04-14,fikir değiştirdim,580.00,78.01,evet
S101519,U102,1,2026-04-14,üründen memnun kalmadım,8900.00,80.69,evet
S101520,U601,1,2026-04-14,geç teslimat,1096.50,104.55,evet
S101554,U201,1,2026-04-14,beden uymadı,3490.00,77.84,evet
S101601,U205,1,2026-04-14,beden uymadı,903.00,83.07,evet
S101665,U406,2,2026-04-14,fikir değiştirdim,1386.00,143.19,evet
S101858,U604,1,2026-04-14,üründen memnun kalmadım,413.00,111.50,evet
S102145,U602,1,2026-04-14,fikir değiştirdim,203.00,121.38,evet
S102153,U404,1,2026-04-14,üründen memnun kalmadım,1490.00,86.83,evet
S101253,U201,1,2026-04-15,beden uymadı,2966.50,92.00,evet
S101931,U202,1,2026-04-15,fikir değiştirdim,2790.00,78.58,evet
S101991,U606,2,2026-04-15,geç teslimat,980.00,102.42,evet
S101275,U206,1,2026-04-16,beden uymadı,4490.00,103.82,evet
S101369,U207,1,2026-04-16,beden uymadı,5490.00,102.81,evet
S101603,U207,1,2026-04-16,beden uymadı,5490.00,99.88,hayır
S101614,U201,1,2026-04-16,beden uymadı,3490.00,99.92,evet
S101636,U501,1,2026-04-16,hasarlı geldi,1190.00,168.65,evet
S101703,U604,1,2026-04-16,fikir değiştirdim,590.00,166.23,evet
S101983,U204,1,2026-04-16,beden uymadı,2290.00,90.79,evet
S102048,U101,1,2026-04-16,hasarlı geldi,5490.00,85.89,hayır
S101351,U206,1,2026-04-17,beden uymadı,3816.50,117.90,evet
S101551,U203,1,2026-04-17,beden uymadı,3990.00,97.59,evet
S101723,U303,1,2026-04-17,hasarlı geldi,1096.50,79.00,hayır
S101860,U202,1,2026-04-17,beden uymadı,1953.00,104.10,evet
S101873,U204,1,2026-04-17,üründen memnun kalmadım,2290.00,170.88,evet
S101962,U601,1,2026-04-17,fikir değiştirdim,1290.00,84.48,evet
S101326,U104,1,2026-04-18,yanlış ürün gönderildi,2490.00,103.77,hayır
S101402,U302,1,2026-04-18,hasarlı geldi,3690.00,106.94,evet
S101423,U505,1,2026-04-18,üründen memnun kalmadım,1390.00,104.86,evet
S101598,U205,1,2026-04-18,hasarlı geldi,1290.00,85.05,hayır
S101621,U201,1,2026-04-18,üründen memnun kalmadım,3490.00,92.71,hayır
S101667,U603,2,2026-04-18,fikir değiştirdim,546.00,164.40,evet
S101714,U501,1,2026-04-18,beden uymadı,1190.00,94.79,evet
S102293,U104,1,2026-04-18,fikir değiştirdim,2490.00,102.00,evet
S102346,U205,1,2026-04-18,beden uymadı,1290.00,99.59,evet
S101373,U206,1,2026-04-19,geç teslimat,3143.00,175.63,hayır
S101386,U205,1,2026-04-19,hasarlı geldi,1290.00,102.98,hayır
S101533,U205,2,2026-04-19,geç teslimat,2580.00,96.24,evet
S101734,U506,1,2026-04-19,üründen memnun kalmadım,890.00,114.17,evet
S101915,U606,2,2026-04-19,üründen memnun kalmadım,980.00,95.19,evet
S102226,U306,1,2026-04-19,hasarlı geldi,690.00,81.36,hayır
S102327,U201,1,2026-04-19,beden uymadı,3490.00,92.87,evet
S102362,U606,3,2026-04-19,fikir değiştirdim,1470.00,89.32,evet
S101741,U205,1,2026-04-20,beden uymadı,1096.50,104.70,evet
S101817,U202,1,2026-04-20,beden uymadı,1953.00,83.19,evet
S101825,U203,1,2026-04-20,hasarlı geldi,3990.00,110.22,evet
S101906,U604,2,2026-04-20,fikir değiştirdim,1180.00,106.39,evet
S101911,U407,1,2026-04-20,fikir değiştirdim,1690.00,101.54,evet
S102032,U202,1,2026-04-20,beden uymadı,2790.00,100.92,evet
S102217,U304,1,2026-04-20,yanlış ürün gönderildi,2116.50,103.49,hayır
S102337,U101,1,2026-04-20,yanlış ürün gönderildi,5490.00,80.36,hayır
S102383,U202,1,2026-04-20,beden uymadı,2790.00,98.85,evet
S102529,U105,1,2026-04-20,hasarlı geldi,1890.00,96.61,evet
S102057,U207,1,2026-04-21,beden uymadı,3843.00,123.11,hayır
S102072,U101,1,2026-04-21,üründen memnun kalmadım,5490.00,103.40,evet
S102143,U201,1,2026-04-21,beden uymadı,3490.00,101.48,evet
S102212,U302,1,2026-04-21,fikir değiştirdim,3690.00,122.27,evet
S102462,U408,1,2026-04-21,beden uymadı,690.00,96.92,evet
S101544,U404,1,2026-04-22,üründen memnun kalmadım,1043.00,80.99,evet
S101545,U602,1,2026-04-22,hasarlı geldi,290.00,94.88,evet
S101654,U302,1,2026-04-22,fikir değiştirdim,3690.00,91.18,evet
S101726,U602,1,2026-04-22,üründen memnun kalmadım,290.00,106.59,evet
S101911,U606,1,2026-04-22,üründen memnun kalmadım,490.00,89.87,hayır
S102199,U204,1,2026-04-22,hasarlı geldi,1603.00,101.24,hayır
S102509,U104,2,2026-04-22,üründen memnun kalmadım,4980.00,165.23,evet
S102523,U104,1,2026-04-22,fikir değiştirdim,2490.00,104.17,evet
S102553,U501,1,2026-04-22,fikir değiştirdim,1190.00,88.92,evet
S101617,U401,1,2026-04-23,üründen memnun kalmadım,6990.00,83.79,evet
S101880,U201,1,2026-04-23,üründen memnun kalmadım,3490.00,104.41,evet
S102278,U106,1,2026-04-23,yanlış ürün gönderildi,3990.00,102.78,hayır
S102369,U203,1,2026-04-23,beden uymadı,3990.00,97.66,evet
S102450,U502,1,2026-04-23,üründen memnun kalmadım,790.00,87.68,evet
S102607,U203,1,2026-04-23,beden uymadı,3990.00,114.18,hayır
S102645,U205,1,2026-04-23,beden uymadı,1290.00,89.92,hayır
S101691,U204,1,2026-04-24,beden uymadı,2290.00,84.68,evet
S101931,U204,1,2026-04-24,üründen memnun kalmadım,2290.00,85.44,evet
S101986,U204,1,2026-04-24,beden uymadı,1946.50,85.41,hayır
S102001,U102,1,2026-04-24,üründen memnun kalmadım,6230.00,86.12,evet
S102092,U606,3,2026-04-24,fikir değiştirdim,1249.50,122.34,evet
S102211,U505,1,2026-04-24,hasarlı geldi,1390.00,86.46,evet
S102232,U202,1,2026-04-24,beden uymadı,2790.00,81.91,evet
S102312,U202,1,2026-04-24,beden uymadı,2790.00,161.42,hayır
S101948,U303,1,2026-04-25,fikir değiştirdim,903.00,80.60,hayır
S102341,U203,1,2026-04-25,beden uymadı,3990.00,91.25,evet
S102521,U204,1,2026-04-25,beden uymadı,2290.00,91.04,evet
S102582,U502,1,2026-04-25,fikir değiştirdim,790.00,90.17,evet
S102801,U304,1,2026-04-25,yanlış ürün gönderildi,2490.00,92.12,hayır
S101932,U106,1,2026-04-26,geç teslimat,3990.00,160.51,hayır
S102072,U405,1,2026-04-26,beden uymadı,1190.00,89.62,evet
S102145,U503,1,2026-04-26,geç teslimat,413.00,109.88,hayır
S102433,U606,1,2026-04-26,yanlış ürün gönderildi,490.00,85.55,hayır
S102560,U104,1,2026-04-26,yanlış ürün gönderildi,2490.00,83.71,evet
S101796,U204,1,2026-04-27,beden uymadı,2290.00,95.92,hayır
S101804,U203,1,2026-04-27,geç teslimat,2793.00,78.69,evet
S101882,U206,1,2026-04-27,beden uymadı,4490.00,107.09,hayır
S101929,U408,2,2026-04-27,fikir değiştirdim,1173.00,88.06,evet
S102037,U505,1,2026-04-27,fikir değiştirdim,1390.00,98.63,hayır
S102089,U206,1,2026-04-27,beden uymadı,4490.00,81.05,evet
S102165,U105,1,2026-04-27,geç teslimat,1890.00,91.72,evet
S102251,U305,2,2026-04-27,üründen memnun kalmadım,2366.00,91.28,evet
S102352,U205,1,2026-04-27,beden uymadı,1290.00,78.87,hayır
S102090,U601,1,2026-04-28,fikir değiştirdim,1290.00,90.26,evet
S102248,U201,1,2026-04-28,beden uymadı,3490.00,94.89,evet
S102320,U203,1,2026-04-28,yanlış ürün gönderildi,3990.00,92.43,hayır
S102349,U205,1,2026-04-28,üründen memnun kalmadım,1290.00,99.68,evet
S102457,U606,1,2026-04-28,fikir değiştirdim,490.00,89.77,evet
S102500,U303,1,2026-04-28,üründen memnun kalmadım,903.00,113.91,evet
S102528,U304,1,2026-04-28,üründen memnun kalmadım,2490.00,78.52,evet
S102543,U205,3,2026-04-28,beden uymadı,3870.00,99.15,hayır
S102674,U204,1,2026-04-28,beden uymadı,2290.00,106.60,evet
S102696,U206,1,2026-04-28,beden uymadı,3143.00,103.43,evet
S102953,U101,1,2026-04-28,üründen memnun kalmadım,5490.00,97.69,evet
S102091,U604,1,2026-04-29,fikir değiştirdim,590.00,104.43,evet
S102132,U404,1,2026-04-29,üründen memnun kalmadım,1490.00,94.93,hayır
S102160,U201,1,2026-04-29,üründen memnun kalmadım,3490.00,100.11,hayır
S102183,U105,2,2026-04-29,üründen memnun kalmadım,2646.00,102.51,evet
S102218,U305,1,2026-04-29,üründen memnun kalmadım,1183.00,103.96,evet
S102284,U201,1,2026-04-29,fikir değiştirdim,3490.00,101.58,evet
S102454,U406,3,2026-04-29,hasarlı geldi,2970.00,87.94,evet
S102461,U202,1,2026-04-29,beden uymadı,1953.00,94.96,hayır
S102674,U506,2,2026-04-29,hasarlı geldi,1780.00,109.19,evet
S102864,U405,1,2026-04-29,yanlış ürün gönderildi,1190.00,91.07,evet
S102065,U602,1,2026-04-30,fikir değiştirdim,203.00,114.37,evet
S102159,U602,1,2026-04-30,beden uymadı,203.00,86.50,evet
S102220,U502,2,2026-04-30,hasarlı geldi,1580.00,95.62,evet
S102414,U102,1,2026-04-30,fikir değiştirdim,8900.00,84.08,evet
S102530,U204,1,2026-04-30,beden uymadı,2290.00,103.07,evet
S102637,U205,1,2026-04-30,beden uymadı,1290.00,101.78,evet
S102783,U201,1,2026-04-30,fikir değiştirdim,3490.00,79.68,evet
S102834,U506,1,2026-04-30,yanlış ürün gönderildi,890.00,106.26,hayır
S102898,U103,1,2026-04-30,beden uymadı,3290.00,99.06,evet
S103087,U606,1,2026-04-30,fikir değiştirdim,490.00,80.55,evet
S103094,U203,1,2026-04-30,beden uymadı,3990.00,122.16,evet
S102052,U602,1,2026-05-01,hasarlı geldi,290.00,112.82,evet
S102053,U504,1,2026-05-01,geç teslimat,490.00,104.20,evet
S102200,U406,1,2026-05-01,fikir değiştirdim,841.50,98.88,evet
S102574,U504,2,2026-05-01,hasarlı geldi,980.00,96.22,hayır
S102821,U105,1,2026-05-01,üründen memnun kalmadım,1890.00,92.92,evet
S102917,U501,2,2026-05-01,üründen memnun kalmadım,2380.00,84.76,evet
S102969,U105,1,2026-05-01,üründen memnun kalmadım,1890.00,92.87,evet
S103133,U202,1,2026-05-01,beden uymadı,2790.00,169.76,evet
S102266,U306,1,2026-05-02,fikir değiştirdim,690.00,112.90,evet
S102704,U104,1,2026-05-02,fikir değiştirdim,2490.00,95.27,evet
S102776,U207,1,2026-05-02,beden uymadı,5490.00,103.27,evet
S102959,U503,1,2026-05-02,beden uymadı,590.00,97.07,evet
S103012,U204,1,2026-05-02,beden uymadı,2290.00,95.23,hayır
S103061,U201,1,2026-05-02,beden uymadı,3490.00,86.78,evet
S103167,U102,1,2026-05-02,beden uymadı,8900.00,106.02,evet
S103184,U603,1,2026-05-02,üründen memnun kalmadım,390.00,90.89,evet
S103199,U603,1,2026-05-02,üründen memnun kalmadım,390.00,83.95,evet
S102176,U101,1,2026-05-03,geç teslimat,3843.00,111.37,evet
S102258,U404,1,2026-05-03,fikir değiştirdim,1490.00,107.55,evet
S102410,U206,1,2026-05-03,beden uymadı,4490.00,83.68,hayır
S102740,U205,1,2026-05-03,beden uymadı,1290.00,116.24,hayır
S102741,U203,2,2026-05-03,beden uymadı,7980.00,91.60,evet
S102817,U602,3,2026-05-03,hasarlı geldi,870.00,121.18,evet
S102256,U504,3,2026-05-04,hasarlı geldi,1470.00,100.20,evet
S102669,U202,1,2026-05-04,geç teslimat,2790.00,101.49,evet
S103151,U601,1,2026-05-04,üründen memnun kalmadım,903.00,88.46,evet
S103274,U202,1,2026-05-04,beden uymadı,2790.00,119.10,evet
S102484,U104,1,2026-05-05,geç teslimat,1743.00,88.95,evet
S102632,U406,2,2026-05-05,üründen memnun kalmadım,1980.00,106.40,hayır
S102881,U305,1,2026-05-05,beden uymadı,1690.00,91.18,evet
S102461,U203,1,2026-05-06,beden uymadı,2793.00,101.51,hayır
S102609,U205,1,2026-05-06,beden uymadı,1290.00,94.48,evet
S102615,U105,2,2026-05-06,beden uymadı,3780.00,93.11,hayır
S102845,U604,2,2026-05-06,yanlış ürün gönderildi,1180.00,118.27,hayır
S102914,U205,1,2026-05-06,beden uymadı,1290.00,89.65,evet
S102655,U201,1,2026-05-07,beden uymadı,3490.00,97.04,evet
S102952,U202,1,2026-05-07,fikir değiştirdim,2790.00,89.44,hayır
S102998,U501,1,2026-05-07,beden uymadı,833.00,106.28,evet
S103328,U403,1,2026-05-07,üründen memnun kalmadım,2890.00,100.54,evet
S102807,U204,1,2026-05-08,hasarlı geldi,2290.00,97.61,hayır
S102852,U103,1,2026-05-08,üründen memnun kalmadım,3290.00,91.76,evet
S103109,U407,1,2026-05-08,fikir değiştirdim,1690.00,107.46,hayır
S103208,U205,1,2026-05-08,beden uymadı,1290.00,88.85,evet
S103301,U201,1,2026-05-08,üründen memnun kalmadım,2443.00,147.23,evet
S103337,U205,1,2026-05-08,geç teslimat,1290.00,115.54,hayır
S103475,U206,1,2026-05-08,beden uymadı,4490.00,87.83,hayır
S103556,U403,1,2026-05-08,geç teslimat,2023.00,89.31,hayır
S103644,U204,1,2026-05-08,beden uymadı,2290.00,77.76,evet
S102683,U402,1,2026-05-09,üründen memnun kalmadım,9900.00,110.98,hayır
S102694,U204,1,2026-05-09,beden uymadı,2290.00,146.52,hayır
S103205,U605,1,2026-05-09,fikir değiştirdim,890.00,152.01,hayır
S103532,U606,1,2026-05-09,hasarlı geldi,343.00,100.88,hayır
S103661,U408,1,2026-05-09,beden uymadı,690.00,91.40,hayır
S102843,U201,1,2026-05-10,beden uymadı,3490.00,80.74,evet
S102927,U502,1,2026-05-10,beden uymadı,790.00,79.72,hayır
S103089,U205,1,2026-05-10,üründen memnun kalmadım,1290.00,99.85,evet
S103148,U506,1,2026-05-10,beden uymadı,623.00,106.04,evet
S103455,U404,1,2026-05-10,üründen memnun kalmadım,1490.00,108.27,hayır
S103480,U204,3,2026-05-10,beden uymadı,6870.00,107.13,evet
S103607,U101,1,2026-05-10,üründen memnun kalmadım,5490.00,88.53,hayır
S102763,U406,3,2026-05-11,üründen memnun kalmadım,2970.00,91.57,evet
S102876,U207,1,2026-05-11,beden uymadı,5490.00,78.55,hayır
S103054,U105,1,2026-05-11,fikir değiştirdim,1323.00,88.84,evet
S103200,U606,3,2026-05-11,geç teslimat,1029.00,78.16,evet
S103202,U501,1,2026-05-11,fikir değiştirdim,1190.00,153.04,evet
S103423,U207,1,2026-05-11,beden uymadı,3843.00,89.58,hayır
S103517,U405,1,2026-05-11,hasarlı geldi,1190.00,79.58,hayır
S103557,U605,1,2026-05-11,hasarlı geldi,623.00,109.24,hayır
S103599,U201,1,2026-05-11,beden uymadı,3490.00,174.52,evet
S103063,U201,1,2026-05-12,beden uymadı,3490.00,81.40,hayır
S103072,U105,1,2026-05-12,üründen memnun kalmadım,1890.00,90.33,evet
S103108,U205,1,2026-05-12,beden uymadı,1290.00,103.64,hayır
S103250,U403,1,2026-05-12,fikir değiştirdim,2023.00,95.74,hayır
