tarih,kanal,kampanya,harcama,tiklama
2026-03-29,instagram,instagram-retargeting,1161.10,295
2026-03-30,google,google-alisveris,733.84,120
2026-03-30,google,google-arama-generik,941.02,156
2026-03-30,google,google-arama-marka,708.42,101
2026-03-30,instagram,instagram-kesfet,2016.28,424
2026-03-30,instagram,instagram-retargeting,1503.96,374
2026-03-31,google,google-alisveris,695.57,95
2026-03-31,google,google-arama-generik,979.87,161
2026-03-31,google,google-arama-marka,713.41,110
2026-03-31,instagram,instagram-kesfet,1067.68,270
2026-03-31,instagram,instagram-retargeting,774.83,187
2026-04-01,google,google-alisveris,537.46,89
2026-04-01,google,google-arama-generik,848.67,133
2026-04-01,google,google-arama-marka,568.77,76
2026-04-01,instagram,instagram-kesfet,992.84,233
2026-04-01,instagram,instagram-retargeting,714.62,163
2026-04-02,google,google-alisveris,931.33,141
2026-04-02,google,google-arama-generik,1171.95,180
2026-04-02,google,google-arama-marka,907.37,150
2026-04-02,instagram,instagram-kesfet,1835.88,431
2026-04-02,instagram,instagram-retargeting,1387.62,358
2026-04-03,google,google-alisveris,1183.17,163
2026-04-03,google,google-arama-generik,1681.34,244
2026-04-03,google,google-arama-marka,1001.99,162
2026-04-03,instagram,instagram-kesfet,1386.95,355
2026-04-03,instagram,instagram-retargeting,954.37,248
2026-04-04,google,google-alisveris,1053.14,149
2026-04-04,google,google-arama-generik,1385.15,214
2026-04-04,google,google-arama-marka,975.22,162
2026-04-04,instagram,instagram-kesfet,1603.07,369
2026-04-04,instagram,instagram-retargeting,982.54,240
2026-04-05,google,google-alisveris,804.67,111
2026-04-05,google,google-arama-generik,1105.08,166
2026-04-05,google,google-arama-marka,701.35,117
2026-04-05,instagram,instagram-kesfet,2246.42,582
2026-04-05,instagram,instagram-retargeting,1608.04,378
2026-04-06,eposta,eposta-bahar-bulteni,803.44,849
2026-04-06,google,google-alisveris,875.55,132
2026-04-06,google,google-arama-generik,1215.60,196
2026-04-06,google,google-arama-marka,783.73,128
2026-04-06,instagram,instagram-kesfet,1231.11,309
2026-04-06,instagram,instagram-retargeting,907.46,195
2026-04-07,eposta,eposta-bahar-bulteni,773.27,905
2026-04-07,google,google-alisveris,799.10,112
2026-04-07,google,google-arama-generik,1277.40,215
2026-04-07,google,google-arama-marka,787.37,106
2026-04-07,instagram,instagram-kesfet,1158.27,263
2026-04-07,instagram,instagram-retargeting,708.24,145
2026-04-08,eposta,eposta-bahar-bulteni,842.54,874
2026-04-08,google,google-alisveris,1012.74,169
2026-04-08,google,google-arama-generik,1304.80,214
2026-04-08,google,google-arama-marka,901.33,142
2026-04-08,instagram,instagram-kesfet,1092.19,251
2026-04-08,instagram,instagram-retargeting,786.99,190
2026-04-09,eposta,eposta-bahar-bulteni,698.70,731
2026-04-09,google,google-alisveris,829.71,127
2026-04-09,google,google-arama-generik,1203.31,172
2026-04-09,google,google-arama-marka,697.87,94
2026-04-09,instagram,instagram-kesfet,1489.76,353
2026-04-09,instagram,instagram-retargeting,1083.93,238
2026-04-10,eposta,eposta-bahar-bulteni,726.18,755
2026-04-10,google,google-alisveris,675.62,100
2026-04-10,google,google-arama-generik,975.50,163
2026-04-10,google,google-arama-marka,692.83,107
2026-04-10,instagram,instagram-kesfet,1558.69,357
2026-04-10,instagram,instagram-retargeting,1161.88,290
2026-04-11,eposta,eposta-bahar-bulteni,752.52,893
2026-04-11,google,google-alisveris,682.54,103
2026-04-11,google,google-arama-generik,912.43,153
2026-04-11,google,google-arama-marka,583.20,86
2026-04-11,instagram,instagram-kesfet,2369.99,562
2026-04-11,instagram,instagram-retargeting,1618.45,400
2026-04-12,eposta,eposta-bahar-bulteni,833.79,905
2026-04-12,google,google-alisveris,1186.01,201
2026-04-12,google,google-arama-generik,1673.30,270
2026-04-12,google,google-arama-marka,1000.85,162
2026-04-12,instagram,instagram-kesfet,1742.24,440
2026-04-12,instagram,instagram-retargeting,1310.14,311
2026-04-13,eposta,eposta-bahar-bulteni,775.47,893
2026-04-13,google,google-alisveris,943.13,147
2026-04-13,google,google-arama-generik,1303.44,216
2026-04-13,google,google-arama-marka,848.49,124
2026-04-13,instagram,instagram-kesfet,1782.73,423
2026-04-13,instagram,instagram-retargeting,1232.32,309
2026-04-14,eposta,eposta-bahar-bulteni,883.50,998
2026-04-14,google,google-alisveris,506.64,76
2026-04-14,google,google-arama-generik,705.77,114
2026-04-14,google,google-arama-marka,463.28,68
2026-04-14,instagram,instagram-kesfet,1401.99,323
2026-04-14,instagram,instagram-retargeting,985.32,213
2026-04-15,eposta,eposta-bahar-bulteni,960.89,1106
2026-04-15,google,google-alisveris,870.76,141
2026-04-15,google,google-arama-generik,1260.14,178
2026-04-15,google,google-arama-marka,806.69,135
2026-04-15,instagram,instagram-kesfet,1071.31,272
2026-04-15,instagram,instagram-retargeting,762.92,181
2026-04-16,google,google-alisveris,776.75,126
2026-04-16,google,google-arama-generik,994.19,157
2026-04-16,google,google-arama-marka,652.50,102
2026-04-16,instagram,instagram-kesfet,2125.65,462
2026-04-16,instagram,instagram-retargeting,1719.60,354
2026-04-17,google,google-alisveris,602.56,94
2026-04-17,google,google-arama-generik,829.01,118
2026-04-17,google,google-arama-marka,557.13,91
2026-04-17,instagram,instagram-kesfet,1279.31,280
2026-04-17,instagram,instagram-retargeting,940.31,237
2026-04-18,google,google-alisveris,1166.00,187
2026-04-18,google,google-arama-generik,1473.80,207
2026-04-18,google,google-arama-marka,998.77,166
2026-04-18,instagram,instagram-kesfet,1437.83,317
2026-04-18,instagram,instagram-retargeting,1086.73,231
2026-04-19,google,google-alisveris,928.36,128
2026-04-19,google,google-arama-generik,1351.49,219
2026-04-19,google,google-arama-marka,849.34,141
2026-04-19,instagram,instagram-kesfet,1833.58,418
2026-04-19,instagram,instagram-retargeting,1323.50,337
2026-04-20,google,google-alisveris,459.98,74
2026-04-20,google,google-arama-generik,622.64,86
2026-04-20,google,google-arama-marka,444.77,63
2026-04-20,instagram,instagram-kesfet,1665.75,419
2026-04-20,instagram,instagram-retargeting,1414.03,298
2026-04-21,google,google-alisveris,575.42,78
2026-04-21,google,google-arama-generik,680.66,110
2026-04-21,google,google-arama-marka,481.41,67
2026-04-21,instagram,instagram-kesfet,1589.89,366
2026-04-21,instagram,instagram-retargeting,1152.12,236
2026-04-22,google,google-alisveris,820.92,131
2026-04-22,google,google-arama-generik,1184.47,192
2026-04-22,google,google-arama-marka,851.16,120
2026-04-22,instagram,instagram-kesfet,1043.93,214
2026-04-22,instagram,instagram-retargeting,828.94,173
2026-04-23,google,google-alisveris,739.27,110
2026-04-23,google,google-arama-generik,1025.89,137
2026-04-23,google,google-arama-marka,635.02,94
2026-04-23,instagram,instagram-kesfet,1115.49,244
2026-04-23,instagram,instagram-retargeting,782.43,160
2026-04-24,google,google-alisveris,1369.40,223
2026-04-24,google,google-arama-generik,1776.01,295
2026-04-24,google,google-arama-marka,1244.46,182
2026-04-24,instagram,instagram-kesfet,2652.07,550
2026-04-24,instagram,instagram-retargeting,1801.34,453
2026-04-25,google,google-alisveris,1156.50,187
2026-04-25,google,google-arama-generik,1880.72,292
2026-04-25,google,google-arama-marka,1214.15,176
2026-04-25,instagram,instagram-kesfet,1625.96,417
2026-04-25,instagram,instagram-retargeting,1414.96,331
2026-04-26,google,google-alisveris,882.13,130
2026-04-26,google,google-arama-generik,1188.59,200
2026-04-26,google,google-arama-marka,887.00,126
2026-04-26,instagram,instagram-kesfet,1622.24,390
2026-04-26,instagram,instagram-retargeting,1244.27,302
2026-04-27,google,google-alisveris,838.12,134
2026-04-27,google,google-arama-generik,1034.37,155
2026-04-27,google,google-arama-marka,771.20,124
2026-04-27,instagram,instagram-kesfet,784.05,183
2026-04-27,instagram,instagram-retargeting,613.93,125
2026-04-28,google,google-alisveris,630.99,93
2026-04-28,google,google-arama-generik,850.87,143
2026-04-28,google,google-arama-marka,578.77,89
2026-04-28,instagram,instagram-kesfet,1294.13,299
2026-04-28,instagram,instagram-retargeting,995.85,243
2026-04-29,google,google-alisveris,606.18,91
2026-04-29,google,google-arama-generik,854.24,120
2026-04-29,google,google-arama-marka,573.93,78
2026-04-29,instagram,instagram-kesfet,1610.30,379
2026-04-29,instagram,instagram-retargeting,1047.74,238
2026-04-30,google,google-alisveris,720.91,103
2026-04-30,google,google-arama-generik,1040.58,175
2026-04-30,google,google-arama-marka,657.66,103
2026-04-30,instagram,instagram-kesfet,977.09,205
2026-04-30,instagram,instagram-retargeting,652.71,165
2026-05-01,google,google-alisveris,962.05,154
2026-05-01,google,google-arama-generik,1557.53,227
2026-05-01,google,google-arama-marka,886.80,127
2026-05-01,instagram,instagram-kesfet,2010.39,462
2026-05-01,instagram,instagram-retargeting,1384.32,353
2026-05-02,google,google-alisveris,1113.42,162
2026-05-02,google,google-arama-generik,1739.11,271
2026-05-02,google,google-arama-marka,1069.06,146
2026-05-02,instagram,instagram-kesfet,1490.84,368
2026-05-02,instagram,instagram-retargeting,1176.61,304
2026-05-03,google,google-alisveris,1983.10,277
2026-05-03,google,google-arama-generik,2950.84,453
2026-05-03,google,google-arama-marka,1856.25,250
2026-05-03,instagram,instagram-kesfet,3539.55,870
2026-05-03,instagram,instagram-retargeting,2121.79,437
2026-05-04,google,google-alisveris,1231.75,196
2026-05-04,google,google-arama-generik,1942.03,286
2026-05-04,google,google-arama-marka,1244.90,166
2026-05-04,instagram,instagram-kesfet,1593.48,400
2026-05-04,instagram,instagram-retargeting,1162.82,294
2026-05-05,google,google-alisveris,903.26,140
2026-05-05,google,google-arama-generik,1078.89,153
2026-05-05,google,google-arama-marka,823.10,138
2026-05-05,instagram,instagram-kesfet,1355.43,342
2026-05-05,instagram,instagram-retargeting,939.92,240
2026-05-06,google,google-alisveris,1134.36,192
2026-05-06,google,google-arama-generik,1484.82,251
2026-05-06,google,google-arama-marka,1067.81,144
2026-05-06,instagram,instagram-kesfet,2223.95,486
2026-05-06,instagram,instagram-retargeting,1605.14,414
2026-05-07,google,google-alisveris,420.65,70
2026-05-07,google,google-arama-generik,658.07,90
2026-05-07,google,google-arama-marka,434.60,70
2026-05-07,instagram,instagram-kesfet,1635.36,409
2026-05-07,instagram,instagram-retargeting,1081.59,264
2026-05-08,google,google-alisveris,898.07,137
2026-05-08,google,google-arama-generik,1278.55,177
2026-05-08,google,google-arama-marka,872.62,132
2026-05-08,instagram,instagram-kesfet,1913.46,425
2026-05-08,instagram,instagram-retargeting,1249.97,298
2026-05-09,google,google-alisveris,901.97,149
2026-05-09,google,google-arama-generik,1185.31,196
2026-05-09,google,google-arama-marka,832.13,118
2026-05-09,instagram,instagram-kesfet,2278.27,535
2026-05-09,instagram,instagram-retargeting,1382.20,284
2026-05-10,google,google-alisveris,1239.21,176
2026-05-10,google,google-arama-generik,1589.58,232
2026-05-10,google,google-arama-marka,1138.29,167
2026-05-10,instagram,instagram-kesfet,2443.97,543
2026-05-10,instagram,instagram-retargeting,1731.92,431
2026-05-11,google,google-alisveris,840.26,117
2026-05-11,google,google-arama-generik,1219.57,189
2026-05-11,google,google-arama-marka,838.00,118
2026-05-11,instagram,instagram-kesfet,2293.62,516
2026-05-11,instagram,instagram-retargeting,1577.68,402
2026-05-12,google,google-alisveris,825.90,139
2026-05-12,google,google-arama-generik,1031.25,143
2026-05-12,google,google-arama-marka,787.76,109
2026-05-12,instagram,instagram-kesfet,1953.84,467
2026-05-12,instagram,instagram-retargeting,1312.77,317
2026-05-13,google,google-alisveris,1035.33,150
2026-05-13,google,google-arama-generik,1430.16,237
2026-05-13,google,google-arama-marka,1056.37,174
2026-05-13,instagram,instagram-kesfet,2165.10,538
2026-05-13,instagram,instagram-retargeting,1507.76,310
2026-05-14,google,google-alisveris,860.52,135
2026-05-14,google,google-arama-generik,1293.52,210
2026-05-14,google,google-arama-marka,926.67,152
2026-05-14,instagram,instagram-kesfet,1618.55,352
2026-05-14,instagram,instagram-retargeting,1199.55,275
2026-05-15,google,google-alisveris,1032.09,153
2026-05-15,google,google-arama-generik,1411.01,196
2026-05-15,google,google-arama-marka,934.00,154
2026-05-15,instagram,instagram-kesfet,2510.07,599
2026-05-15,instagram,instagram-retargeting,1587.19,342
2026-05-15,tiktok,tiktok-spark-ads,2191.73,999
2026-05-15,tiktok,tiktok-video-genis-kitle,3412.58,1414
2026-05-16,google,google-alisveris,1067.94,163
2026-05-16,google,google-arama-generik,1645.62,227
2026-05-16,google,google-arama-marka,1106.11,148
2026-05-16,instagram,instagram-kesfet,2688.88,569
2026-05-16,instagram,instagram-retargeting,2177.73,499
2026-05-16,tiktok,tiktok-spark-ads,2024.75,900
2026-05-16,tiktok,tiktok-video-genis-kitle,2987.08,1180
2026-05-17,google,google-alisveris,1377.59,232
2026-05-17,google,google-arama-generik,1868.10,281
2026-05-17,google,google-arama-marka,1246.95,182
2026-05-17,instagram,instagram-kesfet,1646.09,356
2026-05-17,instagram,instagram-retargeting,1035.03,225
2026-05-17,tiktok,tiktok-spark-ads,2350.80,993
2026-05-17,tiktok,tiktok-video-genis-kitle,4017.30,1628
2026-05-18,google,google-alisveris,997.57,165
2026-05-18,google,google-arama-generik,1227.04,202
2026-05-18,google,google-arama-marka,976.18,153
2026-05-18,instagram,instagram-kesfet,1683.18,384
2026-05-18,instagram,instagram-retargeting,1087.30,272
2026-05-18,tiktok,tiktok-spark-ads,2134.77,960
2026-05-18,tiktok,tiktok-video-genis-kitle,3461.85,1299
2026-05-19,google,google-alisveris,706.76,96
2026-05-19,google,google-arama-generik,939.34,142
2026-05-19,google,google-arama-marka,646.60,93
2026-05-19,instagram,instagram-kesfet,1941.29,503
2026-05-19,instagram,instagram-retargeting,1244.58,265
2026-05-19,tiktok,tiktok-spark-ads,2143.06,983
2026-05-19,tiktok,tiktok-video-genis-kitle,3426.79,1474
2026-05-20,google,google-alisveris,489.02,78
2026-05-20,google,google-arama-generik,698.87,118
2026-05-20,google,google-arama-marka,506.93,71
2026-05-20,instagram,instagram-kesfet,1563.92,394
2026-05-20,instagram,instagram-retargeting,985.66,243
2026-05-20,tiktok,tiktok-spark-ads,2190.93,928
2026-05-20,tiktok,tiktok-video-genis-kitle,3709.91,1537
2026-05-21,google,google-alisveris,931.02,125
2026-05-21,google,google-arama-generik,1307.74,183
2026-05-21,google,google-arama-marka,794.38,126
2026-05-21,instagram,instagram-kesfet,1708.58,429
2026-05-21,instagram,instagram-retargeting,1081.93,258
2026-05-21,tiktok,tiktok-spark-ads,2377.97,894
2026-05-21,tiktok,tiktok-video-genis-kitle,3561.11,1380
2026-05-22,google,google-alisveris,1220.11,167
2026-05-22,google,google-arama-generik,1855.60,305
2026-05-22,google,google-arama-marka,1344.92,195
2026-05-22,instagram,instagram-kesfet,1929.15,455
2026-05-22,instagram,instagram-retargeting,1578.76,373
2026-05-22,tiktok,tiktok-spark-ads,2374.91,893
2026-05-22,tiktok,tiktok-video-genis-kitle,4257.16,1992
2026-05-23,google,google-alisveris,1350.06,224
2026-05-23,google,google-arama-generik,1775.12,259
2026-05-23,google,google-arama-marka,1315.56,184
2026-05-23,instagram,instagram-kesfet,1533.53,330
2026-05-23,instagram,instagram-retargeting,1185.04,299
2026-05-23,tiktok,tiktok-spark-ads,2856.40,1162
2026-05-23,tiktok,tiktok-video-genis-kitle,4992.17,1874
2026-05-24,google,google-alisveris,1149.26,158
2026-05-24,google,google-arama-generik,1709.83,237
2026-05-24,google,google-arama-marka,1022.45,149
2026-05-24,instagram,instagram-kesfet,1157.34,297
2026-05-24,instagram,instagram-retargeting,792.37,197
2026-05-24,tiktok,tiktok-spark-ads,2938.24,1115
2026-05-24,tiktok,tiktok-video-genis-kitle,4389.16,1973
2026-05-25,google,google-alisveris,996.17,167
2026-05-25,google,google-arama-generik,1458.05,202
2026-05-25,google,google-arama-marka,869.09,124
2026-05-25,instagram,instagram-kesfet,1834.33,474
2026-05-25,instagram,instagram-retargeting,1270.39,261
2026-05-25,tiktok,tiktok-spark-ads,3053.47,1443
2026-05-25,tiktok,tiktok-video-genis-kitle,5604.81,2475
2026-05-26,google,google-alisveris,1151.92,160
2026-05-26,google,google-arama-generik,1673.31,249
2026-05-26,google,google-arama-marka,1162.92,183
2026-05-26,instagram,instagram-kesfet,1627.57,417
2026-05-26,instagram,instagram-retargeting,1292.52,275
2026-05-26,tiktok,tiktok-spark-ads,2985.34,1343
2026-05-26,tiktok,tiktok-video-genis-kitle,5037.65,2186
2026-05-27,google,google-alisveris,795.29,119
2026-05-27,google,google-arama-generik,1041.33,172
2026-05-27,google,google-arama-marka,680.61,113
2026-05-27,instagram,instagram-kesfet,1282.83,275
2026-05-27,instagram,instagram-retargeting,838.73,185
2026-05-27,tiktok,tiktok-spark-ads,3027.97,1369
2026-05-27,tiktok,tiktok-video-genis-kitle,4812.69,2147
2026-05-28,google,google-alisveris,862.25,145
2026-05-28,google,google-arama-generik,1106.42,181
2026-05-28,google,google-arama-marka,820.96,130
2026-05-28,instagram,instagram-kesfet,2349.46,539
2026-05-28,instagram,instagram-retargeting,1565.31,394
2026-05-28,tiktok,tiktok-spark-ads,3132.78,1225
2026-05-28,tiktok,tiktok-video-genis-kitle,4783.20,2131
2026-05-29,google,google-alisveris,1051.57,150
2026-05-29,google,google-arama-generik,1606.92,249
2026-05-29,google,google-arama-marka,1014.73,169
2026-05-29,instagram,instagram-kesfet,3145.74,696
2026-05-29,instagram,instagram-retargeting,2232.42,510
2026-05-29,tiktok,tiktok-spark-ads,3089.67,1407
2026-05-29,tiktok,tiktok-video-genis-kitle,4536.38,2106
2026-05-30,google,google-alisveris,805.72,122
2026-05-30,google,google-arama-generik,1255.83,196
2026-05-30,google,google-arama-marka,834.68,119
2026-05-30,instagram,instagram-kesfet,1305.66,323
2026-05-30,instagram,instagram-retargeting,935.62,202
2026-05-30,tiktok,tiktok-spark-ads,3174.13,1196
2026-05-30,tiktok,tiktok-video-genis-kitle,5458.52,2406
2026-05-31,google,google-alisveris,897.77,142
2026-05-31,google,google-arama-generik,1429.71,223
2026-05-31,google,google-arama-marka,884.97,138
2026-05-31,instagram,instagram-kesfet,1487.60,343
2026-05-31,instagram,instagram-retargeting,972.73,227
2026-05-31,tiktok,tiktok-spark-ads,3711.03,1521
2026-05-31,tiktok,tiktok-video-genis-kitle,5655.69,2333
2026-06-01,google,google-alisveris,1547.45,231
2026-06-01,google,google-arama-generik,2491.11,420
2026-06-01,google,google-arama-marka,1477.62,206
2026-06-01,instagram,instagram-kesfet,2178.95,536
2026-06-01,instagram,instagram-retargeting,1441.21,301
2026-06-01,tiktok,tiktok-spark-ads,4020.34,1651
2026-06-01,tiktok,tiktok-video-genis-kitle,5487.86,2161
2026-06-02,google,google-alisveris,1199.70,181
2026-06-02,google,google-arama-generik,1502.90,203
2026-06-02,google,google-arama-marka,1004.65,140
2026-06-02,instagram,instagram-kesfet,1909.82,455
2026-06-02,instagram,instagram-retargeting,1319.69,323
2026-06-02,tiktok,tiktok-spark-ads,4237.44,1658
2026-06-02,tiktok,tiktok-video-genis-kitle,6629.75,2828
2026-06-03,google,google-alisveris,1344.38,227
2026-06-03,google,google-arama-generik,1938.32,277
2026-06-03,google,google-arama-marka,1134.02,166
2026-06-03,instagram,instagram-kesfet,1944.01,444
2026-06-03,instagram,instagram-retargeting,1280.07,313
2026-06-03,tiktok,tiktok-spark-ads,4414.64,2074
2026-06-03,tiktok,tiktok-video-genis-kitle,6816.22,2886
2026-06-04,google,google-alisveris,1188.15,169
2026-06-04,google,google-arama-generik,1679.29,269
2026-06-04,google,google-arama-marka,1196.50,163
2026-06-04,instagram,instagram-kesfet,2269.61,546
2026-06-04,instagram,instagram-retargeting,1509.86,374
2026-06-04,tiktok,tiktok-spark-ads,4162.56,1713
2026-06-04,tiktok,tiktok-video-genis-kitle,5693.66,2265
2026-06-05,google,google-alisveris,1759.28,246
2026-06-05,google,google-arama-generik,2129.71,357
2026-06-05,google,google-arama-marka,1390.43,219
2026-06-05,instagram,instagram-kesfet,3133.12,681
2026-06-05,instagram,instagram-retargeting,2144.66,495
2026-06-05,tiktok,tiktok-spark-ads,4609.54,1878
2026-06-05,tiktok,tiktok-video-genis-kitle,6953.90,3203
2026-06-06,google,google-alisveris,2069.80,307
2026-06-06,google,google-arama-generik,2414.38,407
2026-06-06,google,google-arama-marka,1804.98,241
2026-06-06,instagram,instagram-kesfet,2987.47,628
2026-06-06,instagram,instagram-retargeting,2135.51,554
2026-06-06,tiktok,tiktok-spark-ads,4552.37,1847
2026-06-06,tiktok,tiktok-video-genis-kitle,6385.20,2525
2026-06-07,google,google-alisveris,1183.69,159
2026-06-07,google,google-arama-generik,1537.50,224
2026-06-07,google,google-arama-marka,1147.35,164
2026-06-07,instagram,instagram-kesfet,1826.55,393
2026-06-07,instagram,instagram-retargeting,1387.41,306
