siparis_id,tarih,musteri_id,urun_id,adet,liste_fiyati,kupon_kodu,indirim_tutari,odenen_tutar,kanal,bolge,musteriden_alinan_kargo,kargo_maliyeti
S100038,2026-03-01,M10036,U506,1,890.00,,0.00,890.00,organik,Marmara,0.00,103.52
S100038,2026-03-01,M10036,U502,3,790.00,,0.00,2370.00,organik,Marmara,0.00,0.00
S100039,2026-03-01,M10037,U502,1,790.00,,0.00,790.00,instagram,Akdeniz,0.00,122.46
S100039,2026-03-01,M10037,U603,2,390.00,,0.00,780.00,instagram,Akdeniz,0.00,0.00
S100040,2026-03-01,M10038,U506,1,890.00,,0.00,890.00,organik,Akdeniz,0.00,122.26
S100040,2026-03-01,M10038,U102,1,8900.00,,0.00,8900.00,organik,Akdeniz,0.00,0.00
S100041,2026-03-01,M10039,U407,1,1690.00,,0.00,1690.00,google,Ege,0.00,108.88
S100042,2026-03-01,M10040,U501,2,1190.00,,0.00,2380.00,google,Karadeniz,0.00,124.94
S100043,2026-03-01,M10041,U101,1,5490.00,,0.00,5490.00,google,Ege,0.00,113.11
S100044,2026-03-01,M10042,U105,1,1890.00,,0.00,1890.00,organik,Ege,0.00,101.64
S100045,2026-03-01,M10043,U404,1,1490.00,,0.00,1490.00,organik,Güneydoğu Anadolu,0.00,192.44
S100045,2026-03-01,M10043,U301,1,2190.00,,0.00,2190.00,organik,Güneydoğu Anadolu,0.00,0.00
S100046,2026-03-01,M10044,U104,1,2490.00,,0.00,2490.00,organik,Marmara,0.00,97.30
S100046,2026-03-01,M10044,U504,1,490.00,,0.00,490.00,organik,Marmara,0.00,0.00
S100047,2026-03-01,M10045,U408,1,690.00,,0.00,690.00,organik,İç Anadolu,139.00,104.52
S100048,2026-03-01,M10046,U605,1,890.00,,0.00,890.00,organik,Doğu Anadolu,0.00,184.83
S100048,2026-03-01,M10046,U403,1,2890.00,,0.00,2890.00,organik,Doğu Anadolu,0.00,0.00
S100049,2026-03-01,M10047,U204,1,2290.00,,0.00,2290.00,organik,Akdeniz,0.00,120.82
S100049,2026-03-01,M10047,U305,1,1690.00,,0.00,1690.00,organik,Akdeniz,0.00,0.00
S100050,2026-03-01,M10048,U106,1,3990.00,,0.00,3990.00,google,Akdeniz,0.00,122.97
S100051,2026-03-01,M10049,U602,1,290.00,HOSGELDIN30,87.00,203.00,organik,Marmara,0.00,93.53
S100051,2026-03-01,M10049,U105,2,1890.00,HOSGELDIN30,1134.00,2646.00,organik,Marmara,0.00,0.00
S100052,2026-03-02,M10050,U506,1,890.00,,0.00,890.00,instagram,Marmara,0.00,101.47
S100052,2026-03-02,M10050,U201,1,3490.00,,0.00,3490.00,instagram,Marmara,0.00,0.00
S100053,2026-03-02,M10051,U605,1,890.00,,0.00,890.00,organik,Marmara,0.00,102.96
S100054,2026-03-02,M10052,U407,1,1690.00,HOSGELDIN30,507.00,1183.00,organik,İç Anadolu,0.00,112.46
S100055,2026-03-02,M10053,U603,2,390.00,,0.00,780.00,organik,Marmara,0.00,90.13
S100056,2026-03-02,M10054,U606,2,490.00,,0.00,980.00,organik,İç Anadolu,0.00,106.27
S100057,2026-03-02,M10055,U105,2,1890.00,,0.00,3780.00,google,Ege,0.00,105.20
S100058,2026-03-02,M10056,U603,2,390.00,,0.00,780.00,google,Akdeniz,0.00,121.26
S100059,2026-03-02,M10057,U106,1,3990.00,,0.00,3990.00,organik,Marmara,0.00,88.96
S100060,2026-03-02,M10058,U405,1,1190.00,,0.00,1190.00,organik,Karadeniz,0.00,125.68
S100060,2026-03-02,M10058,U403,1,2890.00,,0.00,2890.00,organik,Karadeniz,0.00,0.00
S100061,2026-03-02,M10054,U407,1,1690.00,,0.00,1690.00,organik,Karadeniz,0.00,130.59
S100061,2026-03-02,M10054,U106,1,3990.00,,0.00,3990.00,organik,Karadeniz,0.00,0.00
S100062,2026-03-02,M10059,U406,1,990.00,,0.00,990.00,organik,Doğu Anadolu,0.00,201.04
S100063,2026-03-02,M10060,U604,2,590.00,,0.00,1180.00,instagram,İç Anadolu,0.00,123.07
S100064,2026-03-02,M10061,U503,1,590.00,,0.00,590.00,google,Marmara,0.00,99.21
S100064,2026-03-02,M10061,U105,1,1890.00,,0.00,1890.00,google,Marmara,0.00,0.00
S100065,2026-03-02,M10062,U605,1,890.00,,0.00,890.00,instagram,Doğu Anadolu,0.00,197.66
S100065,2026-03-02,M10062,U105,1,1890.00,,0.00,1890.00,instagram,Doğu Anadolu,0.00,0.00
S100065,2026-03-02,M10062,U306,1,690.00,,0.00,690.00,instagram,Doğu Anadolu,0.00,0.00
S100066,2026-03-02,M10063,U503,3,590.00,,0.00,1770.00,google,Marmara,0.00,115.04
S100066,2026-03-02,M10063,U603,1,390.00,,0.00,390.00,google,Marmara,0.00,0.00
S100066,2026-03-02,M10063,U106,1,3990.00,,0.00,3990.00,google,Marmara,0.00,0.00
S100067,2026-03-02,M10064,U301,1,2190.00,HOSGELDIN30,657.00,1533.00,instagram,Karadeniz,0.00,130.86
S100068,2026-03-02,M10065,U405,1,1190.00,,0.00,1190.00,google,Akdeniz,0.00,119.34
S100068,2026-03-02,M10065,U602,2,290.00,,0.00,580.00,google,Akdeniz,0.00,0.00
S100069,2026-03-02,M10066,U602,1,290.00,HOSGELDIN30,87.00,203.00,organik,Marmara,139.00,104.20
S100070,2026-03-02,M10067,U404,2,1490.00,,0.00,2980.00,organik,Akdeniz,0.00,130.92
S100071,2026-03-02,M10068,U501,1,1190.00,,0.00,1190.00,instagram,Marmara,0.00,107.15
S100072,2026-03-02,M10069,U106,1,3990.00,HOSGELDIN30,1197.00,2793.00,organik,Marmara,0.00,101.31
S100073,2026-03-02,M10070,U201,1,3490.00,,0.00,3490.00,organik,Marmara,0.00,104.63
S100074,2026-03-02,M10071,U603,2,390.00,,0.00,780.00,eposta,Karadeniz,0.00,139.35
S100075,2026-03-02,M10072,U501,1,1190.00,,0.00,1190.00,google,Marmara,0.00,97.15
S100076,2026-03-02,M10073,U406,2,990.00,,0.00,1980.00,instagram,Ege,0.00,115.53
S100077,2026-03-02,M10074,U203,1,3990.00,HOSGELDIN30,1197.00,2793.00,instagram,İç Anadolu,0.00,113.48
S100078,2026-03-02,M10075,U602,2,290.00,HOSGELDIN30,174.00,406.00,organik,Doğu Anadolu,139.00,205.11
S100079,2026-03-02,M10070,U602,1,290.00,,0.00,290.00,instagram,Marmara,139.00,89.05
S100080,2026-03-02,M10076,U301,1,2190.00,,0.00,2190.00,instagram,İç Anadolu,0.00,116.93
S100081,2026-03-02,M10077,U304,1,2490.00,,0.00,2490.00,google,Akdeniz,0.00,131.80
S100082,2026-03-02,M10078,U204,2,2290.00,,0.00,4580.00,google,İç Anadolu,0.00,125.28
S100083,2026-03-02,M10057,U403,1,2890.00,,0.00,2890.00,organik,Marmara,0.00,103.23
S100083,2026-03-02,M10057,U501,3,1190.00,,0.00,3570.00,organik,Marmara,0.00,0.00
S100084,2026-03-02,M10079,U103,1,3290.00,,0.00,3290.00,organik,Akdeniz,0.00,117.99
S100085,2026-03-02,M10080,U204,1,2290.00,,0.00,2290.00,google,Karadeniz,0.00,137.93
S100086,2026-03-02,M10081,U501,1,1190.00,,0.00,1190.00,organik,Marmara,0.00,92.76
S100087,2026-03-02,M10082,U502,1,790.00,,0.00,790.00,instagram,Karadeniz,0.00,126.70
S100088,2026-03-02,M10083,U105,1,1890.00,,0.00,1890.00,instagram,Marmara,0.00,88.62
S100089,2026-03-02,M10084,U105,1,1890.00,,0.00,1890.00,organik,Doğu Anadolu,0.00,183.23
S100090,2026-03-02,M10085,U501,1,1190.00,,0.00,1190.00,instagram,Marmara,0.00,100.95
S100091,2026-03-02,M10086,U602,2,290.00,,0.00,580.00,organik,İç Anadolu,0.00,113.44
S100091,2026-03-02,M10086,U201,1,3490.00,,0.00,3490.00,organik,İç Anadolu,0.00,0.00
S100092,2026-03-02,M10087,U601,1,1290.00,HOSGELDIN30,387.00,903.00,google,Karadeniz,0.00,137.47
S100092,2026-03-02,M10087,U201,1,3490.00,HOSGELDIN30,1047.00,2443.00,google,Karadeniz,0.00,0.00
S100093,2026-03-03,M10088,U304,1,2490.00,,0.00,2490.00,organik,Güneydoğu Anadolu,0.00,177.66
S100093,2026-03-03,M10088,U606,2,490.00,,0.00,980.00,organik,Güneydoğu Anadolu,0.00,0.00
S100094,2026-03-03,M10089,U506,1,890.00,HOSGELDIN30,267.00,623.00,google,Marmara,139.00,103.13
S100095,2026-03-03,M10090,U401,1,6990.00,,0.00,6990.00,organik,Marmara,0.00,102.07
S100095,2026-03-03,M10090,U602,1,290.00,,0.00,290.00,organik,Marmara,0.00,0.00
S100096,2026-03-03,M10091,U605,1,890.00,,0.00,890.00,organik,Marmara,0.00,93.12
S100096,2026-03-03,M10091,U501,1,1190.00,,0.00,1190.00,organik,Marmara,0.00,0.00
S100097,2026-03-03,M10092,U302,1,3690.00,HOSGELDIN30,1107.00,2583.00,instagram,Akdeniz,0.00,125.18
S100098,2026-03-03,M10093,U203,1,3990.00,,0.00,3990.00,organik,Marmara,0.00,92.52
S100099,2026-03-03,M10094,U201,1,3490.00,,0.00,3490.00,organik,Doğu Anadolu,0.00,184.43
S100100,2026-03-03,M10095,U106,2,3990.00,,0.00,7980.00,instagram,Ege,0.00,112.83
S100100,2026-03-03,M10095,U103,1,3290.00,,0.00,3290.00,instagram,Ege,0.00,0.00
S100101,2026-03-03,M10096,U403,1,2890.00,,0.00,2890.00,organik,Ege,0.00,112.11
S100101,2026-03-03,M10096,U306,1,690.00,,0.00,690.00,organik,Ege,0.00,0.00
S100101,2026-03-03,M10096,U201,1,3490.00,,0.00,3490.00,organik,Ege,0.00,0.00
S100102,2026-03-03,M10097,U502,2,790.00,,0.00,1580.00,organik,Marmara,0.00,95.13
S100102,2026-03-03,M10097,U105,1,1890.00,,0.00,1890.00,organik,Marmara,0.00,0.00
S100103,2026-03-03,M10098,U105,2,1890.00,,0.00,3780.00,organik,Doğu Anadolu,0.00,199.35
S100104,2026-03-03,M10099,U103,1,3290.00,HOSGELDIN30,987.00,2303.00,google,Marmara,0.00,93.84
S100105,2026-03-03,M10100,U407,1,1690.00,,0.00,1690.00,organik,İç Anadolu,0.00,111.09
S100106,2026-03-03,M10101,U305,2,1690.00,,0.00,3380.00,organik,Marmara,0.00,110.74
S100106,2026-03-03,M10101,U606,1,490.00,,0.00,490.00,organik,Marmara,0.00,0.00
S100106,2026-03-03,M10101,U106,1,3990.00,,0.00,3990.00,organik,Marmara,0.00,0.00
S100107,2026-03-03,M10102,U504,2,490.00,,0.00,980.00,organik,Ege,0.00,101.03
S100108,2026-03-03,M10103,U502,2,790.00,,0.00,1580.00,google,Marmara,0.00,98.39
S100108,2026-03-03,M10103,U503,1,590.00,,0.00,590.00,google,Marmara,0.00,0.00
S100109,2026-03-03,M10022,U603,1,390.00,,0.00,390.00,organik,Marmara,139.00,100.31
S100110,2026-03-03,M10104,U501,1,1190.00,,0.00,1190.00,organik,Karadeniz,0.00,133.78
S100111,2026-03-03,M10105,U303,1,1290.00,,0.00,1290.00,organik,Marmara,0.00,101.61
S100112,2026-03-03,M10106,U406,1,990.00,HOSGELDIN30,297.00,693.00,organik,Marmara,139.00,92.64
S100113,2026-03-03,M10107,U204,1,2290.00,,0.00,2290.00,organik,İç Anadolu,0.00,113.50
S100113,2026-03-03,M10107,U105,1,1890.00,,0.00,1890.00,organik,İç Anadolu,0.00,0.00
S100114,2026-03-03,M10095,U301,1,2190.00,,0.00,2190.00,instagram,Akdeniz,0.00,117.85
S100115,2026-03-03,M10108,U107,1,6490.00,HOSGELDIN30,1947.00,4543.00,google,Ege,0.00,118.13
S100116,2026-03-03,M10109,U503,1,590.00,,0.00,590.00,eposta,Marmara,139.00,89.87
S100117,2026-03-03,M10110,U104,1,2490.00,,0.00,2490.00,instagram,Güneydoğu Anadolu,0.00,197.58
S100117,2026-03-03,M10110,U201,1,3490.00,,0.00,3490.00,instagram,Güneydoğu Anadolu,0.00,0.00
S100118,2026-03-03,M10111,U205,1,1290.00,,0.00,1290.00,google,Doğu Anadolu,0.00,174.03
S100119,2026-03-03,M10112,U503,1,590.00,,0.00,590.00,organik,İç Anadolu,139.00,110.72
S100120,2026-03-03,M10113,U107,1,6490.00,HOSGELDIN30,1947.00,4543.00,google,Akdeniz,0.00,123.89
S100121,2026-03-03,M10114,U105,1,1890.00,,0.00,1890.00,instagram,Marmara,0.00,97.48
S100121,2026-03-03,M10114,U503,1,590.00,,0.00,590.00,instagram,Marmara,0.00,0.00
S100121,2026-03-03,M10114,U605,1,890.00,,0.00,890.00,instagram,Marmara,0.00,0.00
S100122,2026-03-03,M10115,U605,1,890.00,HOSGELDIN30,267.00,623.00,organik,Ege,139.00,112.73
S100123,2026-03-03,M10116,U501,1,1190.00,,0.00,1190.00,google,Karadeniz,0.00,132.85
S100124,2026-03-03,M10117,U506,1,890.00,HOSGELDIN30,267.00,623.00,organik,İç Anadolu,139.00,106.24
S100125,2026-03-03,M10118,U101,1,5490.00,,0.00,5490.00,organik,İç Anadolu,0.00,123.39
S100125,2026-03-03,M10118,U403,1,2890.00,,0.00,2890.00,organik,İç Anadolu,0.00,0.00
S100125,2026-03-03,M10118,U502,1,790.00,,0.00,790.00,organik,İç Anadolu,0.00,0.00
S100126,2026-03-03,M10119,U606,1,490.00,,0.00,490.00,instagram,İç Anadolu,0.00,109.47
S100126,2026-03-03,M10119,U305,1,1690.00,,0.00,1690.00,instagram,İç Anadolu,0.00,0.00
S100127,2026-03-03,M10120,U107,1,6490.00,,0.00,6490.00,instagram,Ege,0.00,109.99
S100128,2026-03-03,M10121,U305,1,1690.00,,0.00,1690.00,organik,Marmara,0.00,105.68
S100129,2026-03-03,M10122,U501,2,1190.00,,0.00,2380.00,organik,İç Anadolu,0.00,136.50
S100129,2026-03-03,M10122,U506,2,890.00,,0.00,1780.00,organik,İç Anadolu,0.00,0.00
S100129,2026-03-03,M10122,U105,1,1890.00,,0.00,1890.00,organik,İç Anadolu,0.00,0.00
S100130,2026-03-03,M10123,U305,1,1690.00,HOSGELDIN30,507.00,1183.00,instagram,Akdeniz,0.00,140.66
S100130,2026-03-03,M10123,U407,1,1690.00,HOSGELDIN30,507.00,1183.00,instagram,Akdeniz,0.00,0.00
S100130,2026-03-03,M10123,U501,1,1190.00,HOSGELDIN30,357.00,833.00,instagram,Akdeniz,0.00,0.00
S100131,2026-03-03,M10124,U102,1,8900.00,,0.00,8900.00,organik,Akdeniz,0.00,119.21
S100132,2026-03-03,M10125,U202,1,2790.00,,0.00,2790.00,google,Marmara,0.00,98.74
S100132,2026-03-03,M10125,U101,1,5490.00,,0.00,5490.00,google,Marmara,0.00,0.00
S100133,2026-03-03,M10126,U406,2,990.00,,0.00,1980.00,google,Güneydoğu Anadolu,0.00,169.74
S100133,2026-03-03,M10126,U104,1,2490.00,,0.00,2490.00,google,Güneydoğu Anadolu,0.00,0.00
S100134,2026-03-03,M10127,U603,1,390.00,,0.00,390.00,organik,Marmara,139.00,90.16
S100135,2026-03-03,M10128,U406,3,990.00,,0.00,2970.00,organik,Güneydoğu Anadolu,0.00,162.03
S100136,2026-03-03,M10129,U206,2,4490.00,HOSGELDIN30,2694.00,6286.00,organik,Marmara,0.00,98.86
S100137,2026-03-03,M10130,U604,1,590.00,,0.00,590.00,google,Ege,139.00,102.38
S100138,2026-03-03,M10131,U201,1,3490.00,,0.00,3490.00,instagram,Doğu Anadolu,0.00,171.42
S100139,2026-03-03,M10132,U202,1,2790.00,,0.00,2790.00,google,Ege,0.00,103.32
S100140,2026-03-03,M10133,U603,1,390.00,,0.00,390.00,instagram,Marmara,0.00,107.42
S100140,2026-03-03,M10133,U105,1,1890.00,,0.00,1890.00,instagram,Marmara,0.00,0.00
S100141,2026-03-03,M10134,U407,1,1690.00,,0.00,1690.00,organik,Doğu Anadolu,0.00,213.48
S100141,2026-03-03,M10134,U408,1,690.00,,0.00,690.00,organik,Doğu Anadolu,0.00,0.00
S100142,2026-03-03,M10135,U408,2,690.00,,0.00,1380.00,organik,İç Anadolu,0.00,116.74
S100142,2026-03-03,M10135,U103,1,3290.00,,0.00,3290.00,organik,İç Anadolu,0.00,0.00
S100143,2026-03-03,M10136,U304,1,2490.00,,0.00,2490.00,google,Marmara,0.00,92.64
S100144,2026-03-03,M10137,U303,1,1290.00,,0.00,1290.00,organik,Marmara,0.00,91.42
S100145,2026-03-03,M10138,U506,1,890.00,,0.00,890.00,organik,Marmara,0.00,108.44
S100145,2026-03-03,M10138,U407,1,1690.00,,0.00,1690.00,organik,Marmara,0.00,0.00
S100146,2026-03-03,M10139,U106,1,3990.00,,0.00,3990.00,instagram,Marmara,0.00,97.01
S100147,2026-03-03,M10140,U506,1,890.00,,0.00,890.00,organik,Marmara,0.00,99.72
S100148,2026-03-04,M10141,U102,2,8900.00,,0.00,17800.00,instagram,Ege,0.00,99.88
S100149,2026-03-04,M10142,U205,1,1290.00,,0.00,1290.00,organik,Ege,0.00,112.77
S100150,2026-03-04,M10105,U103,1,3290.00,,0.00,3290.00,organik,Karadeniz,0.00,129.71
S100151,2026-03-04,M10143,U106,1,3990.00,,0.00,3990.00,organik,Akdeniz,0.00,121.40
S100152,2026-03-04,M10144,U406,1,990.00,,0.00,990.00,organik,Karadeniz,0.00,123.05
S100153,2026-03-04,M10145,U602,1,290.00,,0.00,290.00,eposta,Ege,139.00,103.35
S100154,2026-03-04,M10146,U602,1,290.00,,0.00,290.00,instagram,İç Anadolu,0.00,113.49
S100154,2026-03-04,M10146,U601,1,1290.00,,0.00,1290.00,instagram,İç Anadolu,0.00,0.00
S100155,2026-03-04,M10147,U104,1,2490.00,,0.00,2490.00,instagram,Güneydoğu Anadolu,0.00,179.26
S100156,2026-03-04,M10148,U501,1,1190.00,,0.00,1190.00,google,Akdeniz,0.00,134.50
S100156,2026-03-04,M10148,U107,1,6490.00,,0.00,6490.00,google,Akdeniz,0.00,0.00
S100156,2026-03-04,M10148,U202,1,2790.00,,0.00,2790.00,google,Akdeniz,0.00,0.00
S100157,2026-03-04,M10149,U401,1,6990.00,,0.00,6990.00,organik,Marmara,0.00,93.53
S100157,2026-03-04,M10149,U105,3,1890.00,,0.00,5670.00,organik,Marmara,0.00,0.00
S100158,2026-03-04,M10150,U604,2,590.00,,0.00,1180.00,instagram,Marmara,0.00,90.22
S100159,2026-03-04,M10151,U502,1,790.00,HOSGELDIN30,237.00,553.00,google,Güneydoğu Anadolu,139.00,183.28
S100160,2026-03-04,M10152,U107,1,6490.00,,0.00,6490.00,organik,Karadeniz,0.00,141.72
S100160,2026-03-04,M10152,U503,1,590.00,,0.00,590.00,organik,Karadeniz,0.00,0.00
S100161,2026-03-04,M10153,U101,1,5490.00,,0.00,5490.00,instagram,İç Anadolu,0.00,123.22
S100162,2026-03-04,M10154,U602,2,290.00,,0.00,580.00,google,Marmara,139.00,104.38
S100163,2026-03-04,M10155,U106,1,3990.00,,0.00,3990.00,organik,Ege,0.00,106.37
S100164,2026-03-04,M10156,U102,1,8900.00,,0.00,8900.00,organik,Marmara,0.00,102.10
S100164,2026-03-04,M10156,U201,1,3490.00,,0.00,3490.00,organik,Marmara,0.00,0.00
S100165,2026-03-04,M10157,U405,1,1190.00,,0.00,1190.00,organik,Ege,0.00,119.90
S100165,2026-03-04,M10157,U305,1,1690.00,,0.00,1690.00,organik,Ege,0.00,0.00
S100166,2026-03-04,M10158,U505,1,1390.00,,0.00,1390.00,organik,İç Anadolu,0.00,115.86
S100167,2026-03-04,M10159,U505,1,1390.00,,0.00,1390.00,organik,Akdeniz,0.00,123.56
S100167,2026-03-04,M10159,U107,1,6490.00,,0.00,6490.00,organik,Akdeniz,0.00,0.00
S100168,2026-03-04,M10160,U101,1,5490.00,,0.00,5490.00,google,Ege,0.00,122.79
S100168,2026-03-04,M10160,U506,1,890.00,,0.00,890.00,google,Ege,0.00,0.00
S100168,2026-03-04,M10160,U602,1,290.00,,0.00,290.00,google,Ege,0.00,0.00
S100169,2026-03-04,M10161,U407,1,1690.00,,0.00,1690.00,google,Doğu Anadolu,0.00,202.36
S100169,2026-03-04,M10161,U501,1,1190.00,,0.00,1190.00,google,Doğu Anadolu,0.00,0.00
S100169,2026-03-04,M10161,U601,1,1290.00,,0.00,1290.00,google,Doğu Anadolu,0.00,0.00
S100170,2026-03-04,M10162,U104,1,2490.00,,0.00,2490.00,instagram,Doğu Anadolu,0.00,201.31
S100171,2026-03-04,M10163,U107,1,6490.00,,0.00,6490.00,organik,Marmara,0.00,110.45
S100171,2026-03-04,M10163,U306,1,690.00,,0.00,690.00,organik,Marmara,0.00,0.00
S100172,2026-03-04,M10164,U603,1,390.00,,0.00,390.00,organik,Akdeniz,139.00,121.49
S100173,2026-03-04,M10165,U206,1,4490.00,HOSGELDIN30,1347.00,3143.00,google,Marmara,0.00,90.88
S100174,2026-03-04,M10166,U105,1,1890.00,HOSGELDIN30,567.00,1323.00,organik,Ege,0.00,114.84
S100175,2026-03-04,M10167,U301,1,2190.00,,0.00,2190.00,instagram,Karadeniz,0.00,132.46
S100176,2026-03-04,M10168,U306,1,690.00,,0.00,690.00,google,İç Anadolu,139.00,118.92
S100177,2026-03-04,M10169,U604,1,590.00,,0.00,590.00,instagram,Güneydoğu Anadolu,0.00,193.52
